Total Parameters: 326208
Epoch: 000, Loss: 0.6903, Val: 0.9277, Test: 0.9284, Train A/P/R: 0.3543/1.0000/0.3543, Test A/P/R: 0.6777/0.9835/0.3615
Epoch: 001, Loss: 0.6545, Val: 0.9310, Test: 0.9316, Train A/P/R: 0.8756/1.0000/0.8756, Test A/P/R: 0.8591/0.8665/0.8489
Epoch: 002, Loss: 0.6116, Val: 0.9326, Test: 0.9331, Train A/P/R: 0.9994/1.0000/0.9994, Test A/P/R: 0.4998/0.4999/0.9991
Epoch: 003, Loss: 0.6548, Val: 0.9323, Test: 0.9329, Train A/P/R: 0.9616/1.0000/0.9616, Test A/P/R: 0.8447/0.7956/0.9279
Epoch: 004, Loss: 0.5971, Val: 0.9318, Test: 0.9324, Train A/P/R: 0.7570/1.0000/0.7570, Test A/P/R: 0.8382/0.9196/0.7411
Epoch: 005, Loss: 0.5954, Val: 0.9317, Test: 0.9323, Train A/P/R: 0.5871/1.0000/0.5871, Test A/P/R: 0.7791/0.9609/0.5819
Epoch: 006, Loss: 0.6045, Val: 0.9319, Test: 0.9325, Train A/P/R: 0.5444/1.0000/0.5444, Test A/P/R: 0.7623/0.9680/0.5425
Epoch: 007, Loss: 0.6033, Val: 0.9326, Test: 0.9333, Train A/P/R: 0.6080/1.0000/0.6080, Test A/P/R: 0.7877/0.9589/0.6011
Epoch: 008, Loss: 0.5902, Val: 0.9333, Test: 0.9340, Train A/P/R: 0.7443/1.0000/0.7443, Test A/P/R: 0.8363/0.9271/0.7301
Epoch: 009, Loss: 0.5710, Val: 0.9339, Test: 0.9345, Train A/P/R: 0.8876/1.0000/0.8876, Test A/P/R: 0.8617/0.8624/0.8607
Epoch: 010, Loss: 0.5617, Val: 0.9344, Test: 0.9351, Train A/P/R: 0.9591/1.0000/0.9591, Test A/P/R: 0.8467/0.7991/0.9262
Epoch: 011, Loss: 0.5717, Val: 0.9347, Test: 0.9354, Train A/P/R: 0.9401/1.0000/0.9401, Test A/P/R: 0.8551/0.8206/0.9089
Epoch: 012, Loss: 0.5615, Val: 0.9348, Test: 0.9355, Train A/P/R: 0.8566/1.0000/0.8566, Test A/P/R: 0.8613/0.8833/0.8326
Epoch: 013, Loss: 0.5461, Val: 0.9351, Test: 0.9358, Train A/P/R: 0.7490/1.0000/0.7490, Test A/P/R: 0.8397/0.9301/0.7347
Epoch: 014, Loss: 0.5459, Val: 0.9354, Test: 0.9361, Train A/P/R: 0.6882/1.0000/0.6882, Test A/P/R: 0.8201/0.9480/0.6773
Epoch: 015, Loss: 0.5476, Val: 0.9359, Test: 0.9366, Train A/P/R: 0.7087/1.0000/0.7087, Test A/P/R: 0.8278/0.9444/0.6965
Epoch: 016, Loss: 0.5406, Val: 0.9364, Test: 0.9371, Train A/P/R: 0.7943/1.0000/0.7943, Test A/P/R: 0.8534/0.9179/0.7763
Epoch: 017, Loss: 0.5289, Val: 0.9365, Test: 0.9373, Train A/P/R: 0.8816/1.0000/0.8816, Test A/P/R: 0.8659/0.8732/0.8562
Epoch: 018, Loss: 0.5283, Val: 0.9367, Test: 0.9375, Train A/P/R: 0.8994/1.0000/0.8994, Test A/P/R: 0.8665/0.8618/0.8731
Epoch: 019, Loss: 0.5295, Val: 0.9371, Test: 0.9379, Train A/P/R: 0.8356/1.0000/0.8356, Test A/P/R: 0.8639/0.9037/0.8146
Epoch: 020, Loss: 0.5181, Val: 0.9373, Test: 0.9382, Train A/P/R: 0.7388/1.0000/0.7388, Test A/P/R: 0.8399/0.9422/0.7241
Epoch: 021, Loss: 0.5190, Val: 0.9374, Test: 0.9383, Train A/P/R: 0.7132/1.0000/0.7132, Test A/P/R: 0.8317/0.9495/0.7007
Epoch: 022, Loss: 0.5190, Val: 0.9372, Test: 0.9381, Train A/P/R: 0.7840/1.0000/0.7840, Test A/P/R: 0.8537/0.9294/0.7655
Epoch: 023, Loss: 0.5103, Val: 0.9370, Test: 0.9379, Train A/P/R: 0.8688/1.0000/0.8688, Test A/P/R: 0.8699/0.8891/0.8451
Epoch: 024, Loss: 0.5134, Val: 0.9367, Test: 0.9377, Train A/P/R: 0.8525/1.0000/0.8525, Test A/P/R: 0.8685/0.8993/0.8299
Epoch: 025, Loss: 0.5104, Val: 0.9325, Test: 0.9338, Train A/P/R: 0.7570/1.0000/0.7570, Test A/P/R: 0.8449/0.9371/0.7395
Epoch: 026, Loss: 0.5077, Val: 0.9192, Test: 0.9215, Train A/P/R: 0.7169/1.0000/0.7169, Test A/P/R: 0.8313/0.9464/0.7023
Epoch: 027, Loss: 0.5107, Val: 0.9263, Test: 0.9281, Train A/P/R: 0.7861/1.0000/0.7861, Test A/P/R: 0.8526/0.9261/0.7663
Epoch: 028, Loss: 0.5049, Val: 0.9320, Test: 0.9334, Train A/P/R: 0.8566/1.0000/0.8566, Test A/P/R: 0.8680/0.8954/0.8334
Epoch: 029, Loss: 0.5083, Val: 0.9274, Test: 0.9292, Train A/P/R: 0.8266/1.0000/0.8266, Test A/P/R: 0.8626/0.9102/0.8046
Epoch: 030, Loss: 0.5046, Val: 0.9114, Test: 0.9137, Train A/P/R: 0.7518/1.0000/0.7518, Test A/P/R: 0.8423/0.9374/0.7336
Epoch: 031, Loss: 0.5053, Val: 0.9119, Test: 0.9140, Train A/P/R: 0.7524/1.0000/0.7524, Test A/P/R: 0.8429/0.9377/0.7345
